$ bin/fm-orphan-sweep.sh --dry-run   # real box, default roots, read-only (2026-09-08T23:29:33Z)
orphan sweep: would have removed tmp entry /tmp/c813 (280K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/t2 (16K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/t1 (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/graphql-language-service (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ZXL7uCduD0IW73LafqlCo (128K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/_5p_pbnrcYUxBaFkz2Isu (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pFLKPGfY0Ih8Kht9h-hwA (52K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/YB5P7ZJEd38SSr55lrlqb (16K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/xfs-9c7d5191 (60K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/xfs-91d08bbd (24K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/xfs-12b14cbc (24K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/xfs-f14333d6 (44K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/rondocs.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/dialog-full-fix.rs (36K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ll.bak (24K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/cursive-docs.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/repro-842-after.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/repro_842.py (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/after-full.log (20K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/after-nocompat.log (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/repro-after.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/green-targeted.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/red.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/repro-before.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/repro_symlink.py (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/baseline-full.log (20K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/baseline-nocompat.log (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/setup.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/dlg_test.rs (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/apt2.log (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/apt.log (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/mop.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pytest_cache (264K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/doclist.cursive (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/doclist.beets (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/doclist.dulwich (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/day2scout (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/att-new.json (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/delta.json (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/delta.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/att.json (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/att-comment.txt (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-lean2.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bt4.txt (180K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bt3.txt (180K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/tc5.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-lean.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/tc4.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bt2.txt (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/tc3.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bt.txt (180K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/tc2.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/tc.txt (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-471-fix2.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-471-fixed.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr471-comment.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-471-noglob.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/err2.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/rtm.yml.bak (24K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-471-summary.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-471-stderr.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-471-stdout.txt (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow8.json (60K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bda-final.log (272K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-pr319 (56K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/mainside.diff (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/branchside.diff (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-err.log (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/dc-base.json (584K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-base.SmTf (178M, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-base.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow7.json (60K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/f7.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bda-test4.log (272K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bda-test3.log (272K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow6.json (60K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow5.json (60K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-run5.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/merge_files.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/main_files.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fin-fm-wake-queue.out (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fin-fm-desktop.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fin-fm-treehouse-isolation.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fin-fm-orphan-sweep.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit.md (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-raw.log (16K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/sync-comment.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/attest-9cf1146.json (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-Q1Nrxa (112K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-CUgEOW (100K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-204bd2 (100K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-fYkMCy (100K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-ai3jKv (100K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-AWYi51 (100K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-KjNYlP (100K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-DabvBJ (100K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/linux-image-build-VuiRer (100K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/TestRecoveryReportsOnlyExactNoncontiguousMissingSequenceRanges1953690555 (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/TestArmAcceptsInitialReplayFrameBeforeReturning3066427517 (24K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/attestation-486.json (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/race473.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/digest486.sh (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr473-body.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bda-test2.log (272K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-run4.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-run3.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-report2.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-run2.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/td4.out (20K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/last-attest.json (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/last-attest-comment.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/sentrux-ci.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-report.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fallow-install.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/TestArmAcceptsInitialReplayFrameBeforeReturning119909198 (16K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/gotest473.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bi.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/g (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/merge-msg.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/scripts-test.log (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/gt473 (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bda-test.log (272K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bda-tc.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/bda-install.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/wq2.out (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319-body.md (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/attestation-319.json (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail-z.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319z.diff (120K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/test3.log (272K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/test2.log (272K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/tc2.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail-final.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319final.diff (116K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/test.log (180K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/tc.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/att.vars (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319i.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319h.diff (116K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/v-fallow.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/wt.path (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fix-proposal.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fix-proposal-prompt.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319h.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319g.diff (116K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/attestation-453.json (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/453-final.md (16K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/453-newsection.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/att3.json (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/453-cur.md (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/final-digest (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/report2-url (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/final-head (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319g.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319f.diff (116K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-report3.md (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-prompt3.txt (72K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319f.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319e.diff (120K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319e.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319d.diff (120K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/td3.out (20K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/s-fm-treehouse-isolation.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/s-fm-wake-queue.out (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/s-fm-orphan-sweep.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-report2.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319d.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319c.diff (120K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/audit-03.out (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/474-note.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319c.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pr319b.diff (120K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/TestRecoveryReportsOnlyExactNoncontiguousMissingSequenceRanges329706736 (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/TestArmAcceptsInitialReplayFrameBeforeReturning4210725438 (24K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/w-go.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/td2.out (20K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/w-img.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/w-sh.log (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/w-b.log (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/pony-453.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/w-v.log (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/w-bt.log (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/final-fallow.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/w-tc.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/r-fm-desktop.out (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/w-cg.log (4.0K, older than 2 days, nothing is using it)
