State  Recv-Q Send-Q               Local Address:Port  Peer Address:Port
LISTEN 0      4096                 100.90.208.62:43712      0.0.0.0:*   
LISTEN 0      512                      127.0.0.1:45383      0.0.0.0:*   
LISTEN 0      511                      127.0.0.1:47821      0.0.0.0:*   
LISTEN 0      5                    100.90.208.62:8791       0.0.0.0:*   
LISTEN 0      4096                 100.90.208.62:8444       0.0.0.0:*   
LISTEN 0      4096                 100.90.208.62:8443       0.0.0.0:*   
LISTEN 0      512                      127.0.0.1:8977       0.0.0.0:*   
LISTEN 0      4096                     127.0.0.1:41877      0.0.0.0:*   
LISTEN 0      2048                     127.0.0.1:8787       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8843       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8521       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8541       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8551       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8571       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8561       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8511       0.0.0.0:*   
LISTEN 0      5                        127.0.0.1:8502       0.0.0.0:*   
LISTEN 0      4096                    127.0.0.54:53         0.0.0.0:*   
LISTEN 0      128                      127.0.0.1:8442       0.0.0.0:*   
LISTEN 0      512                      127.0.0.1:42607      0.0.0.0:*   
LISTEN 0      5                          0.0.0.0:8799       0.0.0.0:*   
LISTEN 0      511                        0.0.0.0:8811       0.0.0.0:*   
LISTEN 0      5                          0.0.0.0:8800       0.0.0.0:*   
LISTEN 0      511                        0.0.0.0:8478       0.0.0.0:*   
LISTEN 0      5                          0.0.0.0:8477       0.0.0.0:*   
LISTEN 0      511                      127.0.0.1:9558       0.0.0.0:*   
LISTEN 0      5                          0.0.0.0:8496       0.0.0.0:*   
LISTEN 0      511                      127.0.0.1:9693       0.0.0.0:*   
LISTEN 0      10                       127.0.0.1:9714       0.0.0.0:*   
LISTEN 0      10                       127.0.0.1:9614       0.0.0.0:*   
